incident_description,primary_cause
"While performing a routine valve exercise task, myself and two fellow employees were distracted by a caravan of 10 vehicles squeezing by our safety cones and road signs. After noticing that the occupants of the vehicles were officers we quickly realized what was going on. In the matter of seconds we witnessed about 50 officers swarm out of the vehicles and converge on a residence with semi-automatic weapons drawn and bust through the home's door, it was a drug raid. I was able to get myself and my fellow employees to the safest available spot which was behind a parked vehicle even if we had to leave the valve key in the manhole and the hole unoccupied I felt that our lives were more important and seeked immediate cover just in case bullets started firing. Always be aware of your surroundings! ",FOG-RAIN-THUNDERSTORM-NEGLIGENCE-WEATHER
"Employee smelled gas outside the main well station building. Upon performing a soap test on the gas line near the meter, the employee noticed a large leak. A supervisor was immediately notified and the gas company was able to be at the site and make the repair within an hour.",RAIN-THUNDERSTORM-POOR_VISIBILITY-HIGH_WINDS-HAZARDOUS_CHEMICAL-CHEMICAL-POOR_JUDGMENT-NEGLIGENCE-WEATHER
"While working at job site for main project, found 2 wood ticks crawling on my pants and neck.",-POOR_JUDGMENT-NEGLIGENCE
"Our office building had a fire drill yesterday afternoon.  Employees exited the building and went to the parking lot, per the safety plan.  People got into their cars and left the parking lot...so we had employees + other building occupants all walking around a parking lot as vehicles were trying to exit... an accident waiting to happen.",-POOR_JUDGMENT-NEGLIGENCE
"Mark was operating a small track hoe when he reported that he had a head ache during his shift while operating the equipment. Upon his reporting the incident, a strong emission smell was indicated and reported out to his supervisor. Outside service was contacted and determined the injectors and exhaust system were faulty and found to be the cause. The equipment was taken out of service until repairs correcting the issue are addressed.",-NEGLIGENCE
"Contractor was removing a Raw Water Pump from the Intake Building for PM work. While using a manual chain hoist to remove the vertical turbine pump, the bottom swivel hook assembly guide cracked upon lifting causing the chain to drop approximately 6"". The hoist was removed and an adjacent manual hoist was used to complete the scope of work. Engineering was consulted to determine if the 3 ton hoist is adequate for the task at hand. Upon further review the pumps were replaced in 2004 with new larger pumps. Engineering will determine if the current I beams are properly sized as well. No injuries were sustained or disciplinary measures taken.",-NEGLIGENCE
"An employee parked a company truck on top of a snow mound, leaving an unsafe condition for both the driver and others.  The vehicle was moved and the driver has been counseled on the matter. ",-VEHICLE-NEGLIGENCE
"On routine inspection of building, George Bauer & Ryan Ural found employees had stored metal fenceposts and misc equipment around and on top of the main electrical panels in the building (which had arc flash labels on them already). Material was moved and boundary tape was placed on the floor to mark a clear zone.",-ELECTRICAL-NEGLIGENCE
Employee reports that an electrical power outlet on the side of the shop building was discovered on fire.  No equipment was plugged in at the time.,-ELECTRICAL-NEGLIGENCE
Water Moccasin was spotted by the Lime Trench at the North Lime slurry pumps.,-POOR_JUDGMENT-NEGLIGENCE
"Wheel chocks were not being used, as policy, when bulk NaOH is unloaded at the facility. A set of chock were constructed, and chemical receiving policy was revised to include the use of wheel chocks. ",-CHEMICAL
"The morning of Feb. 1, 2016 at 8:45 am. the following occurred. I was preparing to change a 1 ton chlorine cylinder and as I inspected the mask for the supplied air I found the exhale diaphragm laying in the bottom of the mask. The diaphragm was not in the exhale hole of the mask where it was supposed to be. That mask was set aside to be repaired and a different mask was used.",-NEGLIGENCE
"during a pre trip vehicle inspection, it was observed that the ball on the hitch was not sitting at quite a 90 degree angle.  Upon further inspection where the hitch is welded and bolted to the frame of the vehicle it was observed that the towing hitch has bowed out.  if this was not caught the hitch could have broken off while hauling the mini",-VEHICLE-NEGLIGENCE
Employee observed a contractor preparing to start an ICS saw having an extremely loose chain.  Employee stopped the contractor from attempting to start the saw and advised him the chain needed to be tightened before the saw could be operated safely.  The contractor adjusted the chain and cut the piece of pipe with no issue.,-NEGLIGENCE
Duals came off of backhoe trailer while backhoe was loaded and trailer was moving. The truck was moving slowly through a parking lot when back set of duals fell off of trailer. Backhoe was immediately unloaded from the trailer and trailer taken to a mechanic for further inspection and repair. ,-NEGLIGENCE
